function                     mask  match   000  010  020
op_1010                , 0xf000,  0xa000, {  4,   4,   4}},
op_1111                , 0xf000,  0xf000, {  4,   4,   4}},
op_abcd_08_mm          , MASK_XY, 0xc108, { 18,  18,  16}},
op_abcd_08_rr          , MASK_XY, 0xc100, {  6,   6,   4}},
op_add_08_er_ai        , MASK_XY, 0xd010, {  8,   8,   6}},
op_add_08_er_al        , MASK_X_, 0xd039, { 16,  16,   6}},
op_add_08_er_aw        , MASK_X_, 0xd038, { 12,  12,   6}},
op_add_08_er_dn        , MASK_XY, 0xd000, {  4,   4,   2}},
op_add_08_er_di        , MASK_XY, 0xd028, { 12,  12,   7}},
op_add_08_er_imm       , MASK_X_, 0xd03c, { 10,   8,   4}},
op_add_08_er_ix        , MASK_XY, 0xd030, { 14,  14,   9}},
op_add_08_er_pcdi      , MASK_X_, 0xd03a, { 12,  12,   7}},
op_add_08_er_pcix      , MASK_X_, 0xd03b, { 14,  14,   9}},
op_add_08_er_pd        , MASK_XY, 0xd020, { 10,  10,   7}},
op_add_08_er_pi        , MASK_XY, 0xd018, {  8,   8,   6}},
op_add_08_re_ai        , MASK_XY, 0xd110, { 12,  12,   8}},
op_add_08_re_al        , MASK_X_, 0xd139, { 20,  20,   8}},
op_add_08_re_aw        , MASK_X_, 0xd138, { 16,  16,   8}},
op_add_08_re_di        , MASK_XY, 0xd128, { 16,  16,   9}},
op_add_08_re_ix        , MASK_XY, 0xd130, { 18,  18,  11}},
op_add_08_re_pd        , MASK_XY, 0xd120, { 14,  14,   9}},
op_add_08_re_pi        , MASK_XY, 0xd118, { 12,  12,   8}},
op_add_16_er_an        , MASK_XY, 0xd048, {  4,   4,   2}},
op_add_16_er_ai        , MASK_XY, 0xd050, {  8,   8,   6}},
op_add_16_er_al        , MASK_X_, 0xd079, { 16,  16,   6}},
op_add_16_er_aw        , MASK_X_, 0xd078, { 12,  12,   6}},
op_add_16_er_dn        , MASK_XY, 0xd040, {  4,   4,   2}},
op_add_16_er_di        , MASK_XY, 0xd068, { 12,  12,   7}},
